code,level,termEn,termJa,obsolete
800,2,"Neoplasms, NOS",新生物，ＮＯＳ,
8000/0,Preferred,"Neoplasm, benign",新生物，良性,
8000/0,Synonym,"Tumor, benign",腫瘍，良性,
8000/0,Synonym,"Unclassified tumor, benign",分類されない腫瘍，良性,
8000/1,Preferred,"Neoplasm, uncertain whether benign or malignant",新生物，良性又は悪性の別不詳,
8000/1,Synonym,"Neoplasm, NOS",新生物，ＮＯＳ,
8000/1,Synonym,"Tumor, NOS",腫瘍，ＮＯＳ,
8000/1,Synonym,"Unclassified tumor, borderline malignancy",分類されない腫瘍，境界悪性領域,
8000/1,Synonym,"Unclassified tumor, uncertain whether benign or malignant",分類されない腫瘍，良性又は悪性の別不詳,
8000/3,Preferred,"Neoplasm, malignant",新生物，悪性,
8000/3,Synonym,"Blastoma, NOS",芽腫，ＮＯＳ,
8000/3,Synonym,"Tumor, malignant, NOS",腫瘍，悪性，ＮＯＳ,
8000/3,Synonym,Cancer,がん,
8000/3,Synonym,Malignancy,悪性腫瘍,
8000/3,Synonym,"Unclassified tumor, malignant",分類されない腫瘍，悪性,
8000/6,Preferred,"Neoplasm, metastatic",新生物，転移性,
8000/6,Synonym,"Neoplasm, secondary",新生物，続発性,
8000/6,Synonym,Tumor embolus,腫瘍塞栓,
8000/6,Synonym,"Tumor, metastatic",腫瘍，転移性,
8000/6,Synonym,"Tumor, secondary",腫瘍，続発性,
8000/9,Preferred,"Neoplasm, malignant, uncertain whether primary or metastatic",新生物，悪性，原発又は転移の別不詳,
8000/9,Synonym,"Unclassified tumor, malignant, uncertain whether primary or metastatic",分類されない腫瘍，悪性，原発又は転移の別不詳,
8001/0,Preferred,"Tumor cells, benign",腫瘍細胞，良性,
8001/1,Preferred,"Tumor cells, uncertain whether benign or malignant",腫瘍細胞，良性又は悪性の別不詳,
8001/1,Synonym,"Tumor cells, NOS",腫瘍細胞，ＮＯＳ,
8001/3,Preferred,"Tumor cells, malignant",腫瘍細胞，悪性,
8002/3,Preferred,"Malignant tumor, small cell type",悪性腫瘍，小細胞型,
8003/3,Preferred,"Malignant tumor, giant cell type",悪性腫瘍，巨細胞型,
8004/3,Preferred,"Malignant tumor, spindle cell type",悪性腫瘍，紡錘形細胞型,
8004/3,Synonym,"Malignant tumor, fusiform cell type",,
8005/0,Preferred,"Clear cell tumor, NOS",明細胞腫瘍，ＮＯＳ ※1,
8005/3,Preferred,"Malignant tumor, clear cell type",悪性腫瘍，明細胞型 ※1,
801-804,2,"Epithelial neoplasms, NOS",上皮性新生物，ＮＯＳ,
8010/0,Preferred,"Epithelial tumor, benign",上皮性腫瘍，良性,
8010/2,Preferred,"Carcinoma in situ, NOS",上皮内癌，ＮＯＳ,
8010/2,Synonym,"Intraepithelial carcinoma, NOS",,
8010/3,Preferred,"Carcinoma, NOS",癌腫，ＮＯＳ,
8010/3,Synonym,"Epithelial tumor, malignant",上皮性腫瘍，悪性,
8010/3,Related,Heterotopia-associated carcinoma,,
8010/6,Preferred,"Carcinoma, metastatic, NOS",癌腫，転移性，ＮＯＳ,
8010/6,Synonym,Secondary carcinoma,続発性癌,
8010/9,Preferred,Carcinomatosis,癌腫症,
8011/0,Preferred,"Epithelioma, benign",上皮腫，良性,
8011/3,Preferred,"Epithelioma, malignant",上皮腫，悪性,
8011/3,Synonym,"Epithelioma, NOS",上皮腫，ＮＯＳ,
8012/3,Preferred,"Large cell carcinoma, NOS",大細胞癌，ＮＯＳ,
8013/3,Preferred,Large cell neuroendocrine carcinoma,大細胞神経内分泌癌 ※1,
8013/3,Related,Combined large cell neuroendocrine carcinoma,混合型大細胞神経内分泌癌,
8014/3,Preferred,Large cell carcinoma with rhabdoid phenotype,ラブドイド型を伴う大細胞癌 ※1,
8015/3,Preferred,Glassy cell carcinoma,硝子細胞癌 ※1,
8020/3,Preferred,"Carcinoma, undifferentiated, NOS",癌腫，未分化，ＮＯＳ,
8020/3,Related,"Carcinoma, poorly differentiated, NOS",低分化癌，NOS,
8020/3,Related,Anaplastic undifferentiated carcinoma,退形成未分化癌,
8020/3,Related,Dedifferentiated carcinoma,脱分化癌,
8021/3,Preferred,"Carcinoma, anaplastic, NOS",癌腫，退形成性，ＮＯＳ,
8022/3,Preferred,Pleomorphic carcinoma,多形細胞癌,
8023/3,Preferred,Nuclear protein in testis (NUT)-associated carcinoma,NUT転座関連癌,
8023/3,Synonym,NUT carcinoma,NUT転座癌／NUT癌,
8023/3,Synonym,NUT midline carcinoma,NUT転座正中癌／NUT正中癌,
8030/3,Preferred,Giant cell and spindle cell carcinoma,巨細胞及び紡錘形細胞癌,
8031/3,Preferred,Giant cell carcinoma,巨細胞癌,
8032/3,Preferred,"Spindle cell carcinoma, NOS",紡錘形細胞癌，ＮＯＳ,
8033/3,Preferred,Pseudosarcomatous carcinoma,偽肉腫様癌,
8033/3,Synonym,Sarcomatoid carcinoma,肉腫様癌 ※2,
8034/3,Preferred,Polygonal cell carcinoma,多角形細胞癌,
8035/3,Preferred,Carcinoma with osteoclast-like giant cells,破骨細胞様巨細胞を伴う癌 ※1,
8035/3,Related,Squamous carcinoma with osteoclast-like giant cells,,
8035/3,Related,Undifferentiated carcinoma with osteoclast-like giant cells,,
8040/0,Preferred,"Tumorlet, benign",ツモレット，良性 ※2,
8040/0,Related,Diffuse idiopathic neuroendocrine cell hyperplasia,,
8040/1,Preferred,"Tumorlet, NOS",ツモレット，ＮＯＳ ※2,
8041/3,Preferred,"Small cell carcinoma, NOS",小細胞癌，ＮＯＳ,
8041/3,Synonym,Reserve cell carcinoma,予備細胞癌,
8041/3,Synonym,Round cell carcinoma,円形細胞癌,
8041/3,Related,Small cell neuroendocrine carcinoma,小細胞神経内分泌癌 ※2,
8041/3,Synonym,"Small cell carcinoma, pulmonary type",小細胞癌，肺型,
8042/3,Preferred,Oat cell carcinoma,燕麦細胞癌（Ｃ34._）,1
8043/3,Preferred,"Small cell carcinoma, fusiform cell",小細胞癌，紡錘形細胞,
8044/3,Preferred,"Small cell carcinoma, intermediate cell",小細胞癌，中細胞,
8044/3,Related,"Small cell carcinoma, hypercalcemic type",小細胞癌，高カルシウム血症型,
8045/3,Preferred,Combined small cell carcinoma,小細胞混合癌 ※2,
8045/3,Synonym,Mixed small cell carcinoma,,
8045/3,Related,Combined small cell-adenocarcinoma,小細胞・腺混合癌 ※2,
8045/3,Related,Combined small cell-large cell carcinoma,小細胞・大細胞混合癌 ※2,
8045/3,Related,Combined small cell-squamous cell carcinoma,小細胞・扁平上皮混合癌,
8046/3,Preferred,Non-small cell carcinoma,非小細胞癌（Ｃ34._） ※1,
805-808,2,Squamous cell neoplasms,扁平上皮性新生物,
8050/0,Preferred,"Papilloma, NOS",乳頭腫，ＮＯＳ（膀胱の乳頭腫Ｍ-8120／1を除く）,
8050/2,Preferred,"Papillary carcinoma in situ, NOS",,
8050/3,Preferred,"Papillary carcinoma, NOS",乳頭状癌，ＮＯＳ,
8051/0,Preferred,Verrucous papilloma,ゆう状乳頭腫,
8051/3,Preferred,"Verrucous carcinoma, NOS",ゆう状癌，ＮＯＳ,
8051/3,Synonym,Verrucous epidermoid carcinoma,ゆう状類表皮癌,
8051/3,Synonym,Verrucous squamous cell carcinoma,ゆう状扁平上皮癌,
8052/0,Preferred,"Squamous cell papilloma, NOS",扁平上皮乳頭腫，ＮＯＳ,
8052/0,Synonym,Keratotic papilloma,,
8052/0,Synonym,Squamous papilloma,,
8052/0,Related,"Benign keratosis, NOS",,
8052/0,Related,Seborrhoeic keratosis,,
8052/0,Related,Solar lentigo,,
8052/0,Related,Lichen planus-like keratosis,,
8052/2,Preferred,"Papillary squamous cell carcinoma, non-invasive",乳頭状扁平上皮癌，非浸潤性 ※2,
8052/2,Synonym,Papillary squamous cell carcinoma in situ,乳頭状扁平上皮内癌 ※2,
8052/3,Preferred,Papillary squamous cell carcinoma,乳頭状扁平上皮癌,
8052/3,Synonym,Papillary epidermoid carcinoma,乳頭状類表皮癌,
8053/0,Preferred,"Squamous cell papilloma, inverted",扁平上皮乳頭腫，内向性 ※2,
8054/0,Preferred,Warty dyskeratoma,疣状異常角化腫／疣贅状異常角化腫／疣贅状異角化腫,
8054/3,Preferred,Warty carcinoma,疣（いぼ）状癌 ／疣（ゆう）状癌,
8054/3,Synonym,Condylomatous carcinoma,コンジローマ様癌／コンジローム様癌,
8054/3,Related,Warty-basaloid carcinoma,疣状類基底細胞癌,
8060/0,Preferred,Squamous papillomatosis,扁平上皮乳頭腫症 ※2,
8060/0,Synonym,"Papillomatosis, NOS",乳頭腫症，ＮＯＳ,
8070/0,Preferred,Actinic keratosis,日光角化症／光線角化症,
8070/0,Related,Arsenical keratosis,ヒ素角化症,
8070/0,Related,PUVA keratosis,PUVA角化症／PUVAケラトーシス,
8070/2,Preferred,"Squamous cell carcinoma in situ, NOS",上皮内扁平上皮癌，ＮＯＳ,
8070/2,Synonym,"Epidermoid carcinoma in situ, NOS",上皮内類表皮癌，ＮＯＳ,
8070/2,Synonym,"Intraepidermal carcinoma, NOS",表皮内癌，ＮＯＳ,
8070/2,Synonym,Intraepithelial squamous cell carcinoma,扁平表皮内癌,
8070/3,Preferred,"Squamous cell carcinoma, NOS",扁平上皮癌，ＮＯＳ,
8070/3,Synonym,"Squamous cell carcinoma, usual type",,
8070/3,Synonym,"Epidermoid carcinoma, NOS",類表皮癌，ＮＯＳ,
8070/3,Synonym,Squamous carcinoma,扁平上皮癌,
8070/3,Synonym,Squamous cell epithelioma,扁平上皮腫,
8070/6,Preferred,"Squamous cell carcinoma, metastatic, NOS",扁平上皮癌，転移性，ＮＯＳ,
8071/2,Preferred,Differentiated intraepithelial neoplasia,分化型上皮内腫瘍,
8071/2,Related,Differentiated penile intraepithelial neoplasia (PeIN),分化型陰茎上皮内腫瘍,
8071/2,Related,Differentiated vulvar intraepithelial neoplasia (VIN),分化型外陰上皮内腫瘍,
8071/3,Preferred,"Squamous cell carcinoma, keratinizing, NOS",扁平上皮癌，角化，ＮＯＳ,
8071/3,Synonym,"Epidermoid carcinoma, keratinizing",類表皮癌，角化,
8071/3,Synonym,"Squamous cell carcinoma, large cell, keratinizing",扁平上皮癌，大細胞性，角化,
8071/3,Related,Keratoacanthoma,ケラトアカントーマ,
8072/0,Preferred,Large cell acanthoma,大細胞棘細胞腫,
8072/3,Preferred,"Squamous cell carcinoma, large cell, nonkeratinizing, NOS",扁平上皮癌，大細胞性，非角化，ＮＯＳ,
8072/3,Synonym,"Epidermoid carcinoma, large cell, nonkeratinizing",,
8072/3,Synonym,"Squamous cell carcinoma, nonkeratinizing, NOS",扁平上皮癌，非角化，ＮＯＳ,
8073/3,Preferred,"Squamous cell carcinoma, small cell, nonkeratinizing",扁平上皮癌，小細胞性，非角化,
8073/3,Synonym,"Epidermoid carcinoma, small cell, nonkeratinizing",類表皮癌，小細胞性，非角化,
8074/3,Preferred,"Squamous cell carcinoma, spindle cell",扁平上皮癌，紡錘形細胞,
8074/3,Synonym,"Epidermoid carcinoma, spindle cell",類表皮癌，紡錘形細胞,
8074/3,Synonym,"Squamous cell carcinoma, sarcomatoid",扁平上皮癌，肉腫様 ※2,
8074/3,Related,Pseudovascular squamous cell carcinoma,偽血管様扁平上皮癌／偽血管型扁平上皮癌,
8075/3,Preferred,"Squamous cell carcinoma, adenoid",扁平上皮癌，腺様,
8075/3,Synonym,"Squamous cell carcinoma, acantholytic",扁平上皮癌，棘融解性 ※2,
8075/3,Synonym,"Squamous cell carcinoma, pseudoglandular",扁平上皮癌，偽腺様,
8076/2,Preferred,Squamous cell carcinoma in situ with questionable stromal invasion,間質浸潤には疑義がある上皮内扁平上皮癌,
8076/2,Synonym,Epidermoid carcinoma in situ with questionable stromal invasion,間質浸潤には疑義がある上皮内類表皮癌,
8076/3,Preferred,"Squamous cell carcinoma, microinvasive",扁平上皮癌，微小浸潤性,
8077/0,Preferred,"Squamous intraepithelial neoplasia, low grade",扁平上皮内腫瘍，低異型度★,
8077/0,Synonym,"Squamous intraepithelial neoplasia, grade I",扁平上皮内腫瘍，Ⅰ度★,
8077/0,Synonym,Low grade squamous intraepithelial lesion,低異型度扁平上皮内病変／軽度扁平上皮内病変,
8077/0,Related,"Anal intraepithelial neoplasia, low grade",肛門上皮内腫瘍，低異型度（Ｃ21.1）★,
8077/0,Related,"Cervical intraepithelial neoplasia, low grade",子宮頸上皮内腫瘍，低異型度（Ｃ53._）★,
8077/0,Related,"Esophageal squamous intraepithelial neoplasia (dysplasia), low grade",食道扁平上皮内腫瘍（異形成），低異型度,
8077/2,Preferred,"Squamous intraepithelial neoplasia, high grade",扁平上皮内腫瘍，高異型度★,
8077/2,Synonym,"Squamous intraepithelial neoplasia, grade II",扁平上皮内腫瘍，グレード2,
8077/2,Synonym,"Squamous intraepithelial neoplasia, grade III",扁平上皮内腫瘍，Ⅲ度※2 ☆（コーディングガイドライン47頁参照）,
8077/2,Synonym,"Squamous dysplasia, high grade",扁平上皮異形成，高異型度,
8077/2,Synonym,High grade squamous intraepithelial lesion,高異型度扁平上皮内病変,
8077/2,Related,"Anal intraepithelial neoplasia, grade III",肛門上皮内腫瘍，Ⅲ度（Ｃ21.1）,
8077/2,Synonym,AIN III,ＡＩＮ Ⅲ（Ｃ21.1） ※2,
8077/2,Related,"Cervical intraepithelial neoplasia, grade III",子宮頸上皮内腫瘍，Ⅲ度（Ｃ53._）,
8077/2,Synonym,"CIN III, NOS",CIN，Ⅲ，ＮＯＳ（Ｃ53._）,
8077/2,Synonym,CIN III with severe dysplasia,CIN，Ⅲ，高度異形成を伴う,
8077/2,Related,"Esophageal squamous intraepithelial neoplasia (dysplasia), high grade",食道扁平上皮内腫瘍（異形成），高異型度（Ｃ15._）★,
8077/2,Related,"Vaginal intraepithelial neoplasia, grade III",膣上皮内腫瘍，Ⅲ度（Ｃ52._） ※2,
8077/2,Synonym,VAIN III,ＶＡＩＮ Ⅲ（Ｃ52._）,
8077/2,Related,"Vulvar intraepithelial neoplasia, grade III",外陰上皮内腫瘍，Ⅲ度（Ｃ51._）,
8077/2,Synonym,VIN III,ＶＩＮ Ⅲ（Ｃ51._）,
8078/3,Preferred,Squamous cell carcinoma with horn formation,角化真珠を伴う扁平上皮癌 ※1,
8080/2,Preferred,Queyrat erythroplasia,ケイラー紅色肥厚症（Ｃ60._）,
8081/2,Preferred,Bowen disease,ボウエン病（Ｃ44._）,
8081/2,Synonym,"Intraepidermal squamous cell carcinoma, Bowen type",表皮内扁平上皮癌，ボウエン型,
8082/3,Preferred,Lymphoepithelial carcinoma,リンパ上皮癌,
8082/3,Synonym,Lymphoepithelioma,リンパ上皮腫,
8082/3,Synonym,Lymphoepithelioma-like carcinoma,リンパ上皮腫様癌 ※2,
8082/3,Related,Schmincke tumor,シュミンケ腫瘍（Ｃ11._）,
8083/3,Preferred,Basaloid squamous cell carcinoma,基底細胞様扁平上皮癌 ※1,
8083/3,Related,Papillary-basaloid carcinoma,乳頭状類基底細胞癌,
8084/0,Preferred,Clear cell acanthoma,,
8084/3,Preferred,"Squamous cell carcinoma, clear cell type",扁平上皮癌，明細胞型 ※1,
8085/3,Preferred,"Squamous cell carcinoma, HPV positive",扁平上皮癌，HPV陽性,
8086/3,Preferred,"Squamous cell carcinoma, HPV negative",扁平上皮癌，HPV陰性,
809-811,2,Basal cell neoplasms,基底細胞性新生物,
8090/1,Preferred,Basal cell tumor,基底細胞腫瘍（Ｃ44._）,1
8090/3,Preferred,"Basal cell carcinoma, NOS",基底細胞癌，ＮＯＳ（Ｃ44._）,
8090/3,Synonym,Basal cell epithelioma,基底細胞上皮腫（Ｃ44._）,
8090/3,Synonym,Rodent ulcer,侵蝕性潰瘍（Ｃ44._）,
8090/3,Related,Pigmented basal cell carcinoma,色素性基底細胞癌（Ｃ44._）,
8090/3,Related,Basal cell carcinoma with adnexal differentiation,付属器への分化を伴う基底細胞癌,
8091/3,Preferred,Superficial basal cell carcinoma,表在性基底細胞癌,
8091/3,Synonym,Multifocal superficial basal cell carcinoma,多病巣性表在性基底細胞癌（Ｃ44._）,
8091/3,Synonym,Multicentric basal cell carcinoma,多中心性基底細胞癌（Ｃ44._）,
8092/3,Preferred,"Infiltrating basal cell carcinoma, NOS",浸潤性基底細胞癌，ＮＯＳ（Ｃ44._）,
8092/3,Related,"Infiltrating basal cell carcinoma, non-sclerosing",浸潤性基底細胞癌，非硬化性（Ｃ44._）,
8092/3,Related,"Infiltrating basal cell carcinoma, sclerosing",浸潤性基底細胞癌，硬化性（Ｃ44._）,
8092/3,Synonym,"Basal cell carcinoma, desmoplastic type",基底細胞癌，線維形成型（Ｃ44._）,
8092/3,Synonym,"Basal cell carcinoma, morpheic",基底細胞癌，morpheic（Ｃ44._）,
8092/3,Related,"Basal cell carcinoma, sarcomatoid",,
8093/3,Preferred,"Basal cell carcinoma, fibroepithelial",基底細胞癌，線維上皮性（Ｃ44._）,
8093/3,Synonym,"Fibroepithelioma, NOS",線維上皮腫，ＮＯＳ ※2,
8093/3,Synonym,Fibroepithelioma of Pinkus type,線維上皮腫，ピンカス型 ※2,
8093/3,Synonym,"Fibroepithelial basal cell carcinoma, Pinkus type",線維上皮性基底細胞癌，ピンカス型 ※2,
8093/3,Synonym,Pinkus tumor,ピンカス腫瘍 ※2,
8094/3,Preferred,Basosquamous carcinoma,基底扁平上皮癌（Ｃ44._）,
8094/3,Synonym,Mixed basal-squamous cell carcinoma,,
8095/3,Preferred,Metatypical carcinoma,変形癌（Ｃ44._）,
8096/0,Preferred,Intraepidermal epithelioma of Jadassohn,ヤダッソン表皮内上皮腫（Ｃ44._）,
8097/3,Preferred,"Basal cell carcinoma, nodular",基底細胞癌，結節性（Ｃ44._） ※1,
8097/3,Related,"Basal cell carcinoma, micronodular",基底細胞癌，小結節性（Ｃ44._） ※1,
8098/3,Preferred,Adenoid basal carcinoma,腺様基底細胞癌（Ｃ53._） ※1,
8100/0,Preferred,Trichoepithelioma,毛包上皮腫（Ｃ44._）,
8100/0,Synonym,Brooke tumor,ブルック腫瘍（Ｃ44._）,
8100/0,Synonym,Epithelioma adenoides cysticum,腺様のう胞性上皮腫（Ｃ44._）,
8100/0,Related,Trichoblastoma,,
8100/0,Related,Trichogerminoma,,
8100/3,Preferred,Trichoblastic carcinoma,,
8100/3,Related,Trichoblastic carcinosarcoma,,
8101/0,Preferred,Trichofolliculoma,毛包のう腫（Ｃ44._）,
8102/0,Preferred,Trichilemmoma,毛根鞘腫（Ｃ44._）,
8102/3,Preferred,Trichilemmocarcinoma,毛根鞘癌（Ｃ44._） ※2,
8102/3,Synonym,Trichilemmal carcinoma,,
8103/0,Preferred,Pilar tumor,毛髪癌（Ｃ44._） ※1,
8103/1,Preferred,Proliferating trichilemmal cyst,増殖性毛根鞘のう胞 ※1,
8103/1,Synonym,Proliferating trichilemmal tumor,増殖性毛根鞘腫瘍 ※1,
8104/0,Preferred,Pilar sheath acanthoma,,
8104/0,Related,Tumor of follicular infundibulum,,
8110/0,Preferred,"Pilomatricoma, NOS",毛基質性上皮腫，ＮＯＳ（Ｃ44._）※2,
8110/0,Synonym,"Pilomatrixoma, NOS",毛基質腫，ＮＯＳ（Ｃ44._）,
8110/0,Synonym,Calcifying epithelioma of Malherbe,マレルブ石灰化上皮腫（Ｃ44._）,
8110/0,Related,Melanocytic matricoma,,
8110/3,Preferred,Pilomatrical carcinoma,毛母癌／毛基質癌,
8110/3,Synonym,Pilomatrix carcinoma,毛基質癌（Ｃ44._）,
8110/3,Synonym,Matrical carcinoma,基質癌（Ｃ44._） ※2,
8110/3,Synonym,"Pilomatricoma, malignant","毛質性上皮腫, 悪性（Ｃ44._） ※2",
8110/3,Synonym,"Pilomatrixoma, malignant",毛基質腫，悪性（Ｃ44._）,
812-813,2,Transitional cell papillomas and carcinomas,移行上皮乳頭腫及び移行上皮癌,
8120/0,Preferred,"Urothelial papilloma, NOS",尿路上皮乳頭腫，NOS,
8120/0,Synonym,"Transitional cell papilloma, benign",移行上皮乳頭腫，良性,1
8120/0,Synonym,Transitional papilloma,移行性乳頭腫,1
8120/0,Synonym,"Transitional cell papilloma, NOS",移行上皮乳頭腫，NOS,
8120/0,Synonym,Papilloma of bladder,膀胱乳頭腫,
8120/2,Preferred,Urothelial carcinoma in situ,上皮内尿路上皮癌 ※2,
8120/2,Synonym,Transitional cell carcinoma in situ,上皮内移行上皮癌,
8120/3,Preferred,"Transitional cell carcinoma, NOS",移行上皮癌，ＮＯＳ,
8120/3,Synonym,"Urothelial carcinoma, NOS",尿路上皮癌，ＮＯＳ,
8120/3,Related,Transitional carcinoma,移行上皮癌,
8120/3,Related,Squamotransitional carcinoma,扁平移行上皮癌,
8121/0,Preferred,"Sinonasal papilloma, exophytic","洞鼻乳頭腫，外向型（Ｃ30.0, Ｃ31._）",
8121/0,Synonym,"Schneiderian papilloma, NOS","シュナイダー乳頭腫，ＮＯＳ（Ｃ30.0,",
8121/0,Synonym,"Sinonasal papilloma, NOS","洞鼻乳頭腫，ＮＯＳ（Ｃ30.0, Ｃ31._）",
8121/0,Synonym,"Sinonasal papilloma, fungiform","洞鼻乳頭腫，茸状（Ｃ30.0, Ｃ31._）",1
8121/0,Related,"Urothelial papilloma, inverted",尿路上皮乳頭腫，内反型,
8121/0,Related,"Transitional papilloma, inverted, NOS",移行上皮乳頭腫，内反型，NOS,
8121/0,Synonym,"Transitional cell papilloma, inverted, NOS",移行細胞乳頭腫，内反型，NOS,
8121/1,Preferred,"Sinonasal papilloma, inverted",副鼻腔乳頭腫，内反性／洞鼻乳頭腫，内反性,
8121/1,Related,Columnar cell papilloma,円柱上皮細胞乳頭腫 ※2,
8121/1,Related,Cylindrical cell papilloma,"円柱細胞乳頭腫（Ｃ30.0, Ｃ31._） ※2",
8121/1,Related,"Schneiderian papilloma, oncocytic",,
8121/1,Related,"Schneiderian papilloma, inverted","シュナイダー乳頭腫，内反性（Ｃ30.0,円柱上皮細胞乳頭腫 ※2円柱細胞乳頭腫（Ｃ30.0, Ｃ31._） ※2膨大細胞性 シュナイダー乳頭腫（Ｃ30.0,※2",
8121/1,Related,"Sinonasal papilloma, oncocytic",,
8121/3,Preferred,Schneiderian carcinoma,"シュナイダー癌（Ｃ30.0, Ｃ31._）",
8121/3,Related,Cylindrical cell carcinoma,"円柱細胞癌（Ｃ30.0, Ｃ31._） ※2",
8122/3,Preferred,"Urothelial carcinoma, sarcomatoid",尿路上皮癌，肉腫様,
8122/3,Synonym,"Urothelial carcinoma, spindle cell",尿路上皮癌，紡錘形細胞,
8122/3,Synonym,"Transitional cell carcinoma, spindle cell",移行上皮癌，紡錘形細胞,
8122/3,Synonym,"Transitional cell carcinoma, sarcomatoid",移行上皮癌，肉腫様 ※2,
8123/3,Preferred,Basaloid carcinoma,類基底細胞癌,
8124/3,Preferred,Cloacogenic carcinoma,総排泄孔原性癌（Ｃ21.2）,1
8130/1,Preferred,Papillary urothelial neoplasm of low malignant potential,低悪性度乳頭状尿路上皮腫瘍，※2,
8130/1,Synonym,Papillary transitional cell neoplasm of low malignant potential,低悪性度乳頭状移行上皮腫瘍（Ｃ67._）,
8130/2,Preferred,"Papillary urothelial carcinoma, non-invasive",乳頭状尿路上皮癌，非浸潤性※2,
8130/2,Synonym,"Papillary transitional cell carcinoma, non-invasive",乳頭状移行上皮癌，非浸潤性（Ｃ67._）,
8130/3,Preferred,Papillary urothelial carcinoma,乳頭状尿路上皮癌（Ｃ67._） ※2,1
8130/3,Synonym,Papillary transitional cell carcinoma,乳頭状移行上皮癌（Ｃ67._）,1
8131/3,Preferred,"Urothelial carcinoma, micropapillary",尿路上皮癌，微小乳頭型,
8131/3,Synonym,"Transitional cell carcinoma, micropapillary",移行上皮癌，微小乳頭状（Ｃ67._）,
814-838,2,Adenomas and adenocarcinomas,腺腫及び腺癌,
8140/0,Preferred,"Adenoma, NOS",腺腫，ＮＯＳ,
8140/1,Preferred,Atypical adenoma,異型腺腫 ※2,
8140/1,Synonym,"Bronchial adenoma, NOS",気管支腺腫，ＮＯＳ（Ｃ34._）,
8140/2,Preferred,"Adenocarcinoma in situ, NOS",上皮内腺癌，ＮＯＳ,
8140/3,Preferred,"Adenocarcinoma, NOS",腺癌，ＮＯＳ,
8140/3,Synonym,"Adenocarcinoma, usual type",腺癌，通常型,
8140/3,Related,"Carcinoma of Skene, Cowper and Littre glands",スキニー腺，カウパー腺，リター腺の腺癌,
8140/3,Related,Endolymphatic sac tumor,内リンパ嚢腫瘍,
8140/3,Related,Parathyroid carcinoma,副甲状腺癌,
8140/3,Related,Acinar adenocarcinoma of prostate,前立腺腺癌／前立腺腺房腺癌,
8140/6,Preferred,"Adenocarcinoma, metastatic, NOS",腺癌，転移性，ＮＯＳ,
8141/3,Preferred,Scirrhous adenocarcinoma,硬性腺癌,1
8141/3,Synonym,Carcinoma with productive fibrosis,増殖性線維症を伴う癌腫,1
8141/3,Synonym,Scirrhous carcinoma,硬癌,1
8142/3,Preferred,Linitis plastica,形成性胃炎（Ｃ16._）,
8143/3,Preferred,Superficial spreading adenocarcinoma,表層拡大性腺癌,
8144/0,Preferred,"Adenoma, intestinal type",,
8144/3,Preferred,"Adenocarcinoma, intestinal type",腺癌，腸型（Ｃ16._）,
8144/3,Synonym,"Adenocarcinoma, enteric",腺癌，腸型,
8144/3,Synonym,"Carcinoma, intestinal type",癌腫，腸型（Ｃ16._）,
8144/3,Synonym,"Mucinous carcinoma, intestinal type",粘液性腺癌，腸型,
8145/3,Preferred,"Carcinoma, diffuse type",癌腫，びまん型（Ｃ16._）,
8145/3,Synonym,"Adenocarcinoma, diffuse type",腺癌，びまん型（Ｃ16._）,
8146/0,Preferred,Monomorphic adenoma,単形性腺腫,
8147/0,Preferred,Basal cell adenoma,基底細胞腺腫,
8147/3,Preferred,Basal cell adenocarcinoma,基底細胞腺癌,
8147/3,Related,Basal cell carcinoma of prostate,,
8148/0,Preferred,"Glandular intraepithelial neoplasia, low grade",上皮内腺腫瘍，低異型度★,
8148/0,Synonym,"Glandular intraepithelial neoplasia, grade I",上皮内腺腫瘍，Ⅰ度★,
8148/0,Synonym,"Glandular intraepithelial neoplasia, grade II",上皮内腺腫瘍，Ⅱ度★,
8148/0,Related,"Biliary intraepithelial neoplasia, low grade",胆管上皮内腫瘍，低異型度★,
8148/0,Related,"Esophageal glandular dysplasia (intraepithelial neoplasia), low grade",食道腺上皮異形成（上皮内腫瘍），低異型度（Ｃ1６._）★,
8148/2,Preferred,"Glandular intraepithelial neoplasia, high grade",上皮内腺腫瘍，高異型度★,
8148/2,Synonym,"Glandular intraepithelial neoplasia, grade III",上皮内腺腫瘍，Ⅲ度☆,
8148/2,Synonym,"Flat intraepithelial neoplasia, high grade",,
8148/2,Related,"Biliary intraepithelial neoplasia, high grade",胆管上皮内腫瘍，高異型度★,
8148/2,Synonym,"Biliary intraepithelial neoplasia, grade 3 (BilIN-3)",,
8148/2,Related,"Esophageal glandular dysplasia (intraepithelial neoplasia), high grade",食道腺上皮異形成（上皮内腫瘍），高異型度（Ｃ16._）★ ▼１,
8148/2,Synonym,"Esophageal intraepithelial neoplasia, high grade",食道上皮内腫瘍，高異型度（Ｃ16._）,
8148/2,Related,"Prostatic intraepithelial neoplasia, grade III",前立腺上皮内腫瘍，Ⅲ度（Ｃ61.9）,
8148/2,Synonym,PIN III,ＰＩＮ Ⅲ（Ｃ61.9） ※1▼1,
8148/2,Synonym,"Prostatic intraepithelial neoplasia, high grade",,
8149/0,Preferred,Canalicular adenoma,小管状腺腫 ※1,
8150/0,Preferred,Pancreatic neuroendocrine microadenoma,膵神経内分泌微小腺腫,
8150/0,Synonym,"Pancreatic endocrine tumor, benign",膵内分泌腫瘍，良性,1
